PID,State,Import_Index,PARENT,CMODEL,SEQUENCE,OBJ,Title,Alternative_Titles,Personal_Names~Roles,Corporate_Names~Roles,Hidden_Creator,Abstract,Pull_Quotes,Index_Date,Other_Date~Display_Label,Date_Issued,Date_Captured,Publisher,Place_Of_Publication,Public_Notes~Types,Private_Notes~Types,Keywords,LCSH_Subjects,Subjects_Temporal,Subjects_Geographic,Subjects_Names~Types,Coordinate,Type_of_Resource,Genre,Extent,Form,MIME_Type,Digital_Origin,Language_Names~Codes,Local_Identifier,Physical_Location,Shelf_Locator,Classifications~authorities,Related_Items~types,Access_Condition
,This is the Compound_01 parent from grinnell:11569,1,islandora:compound_collection,islandora:compoundCModel,1,,"Jimmy Ley to Mr. and Mrs. W. E. Ley - August 7, 1942",,"Ley, Jimmy",,,"After completing his first two weeks at Sheppard Field, Jimmy writes about the heat and his postal correspondence with family and friends.",,1942,1942-08-07~Date Created,,,Grinnell College,,,,,"United States. Army Air Forces|World War, 1939-1945|Sheppard Field (Tex.)",,,,,text,letter,2 pages w/ envelope,,image/tiff,digitized other analog,English~eng,,,,MS 01.162 Box 1 Folder 3 Letter 7,Digital Grinnell|GrinnellCollege. Special Collections and Archives,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
,This is the Compound_01 Child_01 example from grinnell:11566,2,2,islandora:sp_large_image_cmodel,1,https://raw.githubusercontent.com/Islandora-Collaboration-Group/islandora-sample-objects/master/COMPOUND_OBJECT/Compound_01/Child_01.tiff,"Jimmy Ley to Mr. and Mrs. W. E. Ley - August 7, 1942",,"Ley, Jimmy",,,"After completing his first two weeks at Sheppard Field, Jimmy writes about the heat and his postal correspondence with family and friends.",,1942,1942-08-07~Date Created,,,Grinnell College,,,,,"United States. Army Air Forces|World War, 1939-1945|Sheppard Field (Tex.)",,,,,text,letter,envelope,,image/tiff,digitized other analog,English~eng,,,,MS 01.162 Box 1 Folder 3 Letter 7 Page 1,Digital Grinnell|GrinnellCollege. Special Collections and Archives,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
,This is the Compound_01 Child_02 example from grinnell:11567,3,2,islandora:sp_large_image_cmodel,2,https://raw.githubusercontent.com/Islandora-Collaboration-Group/islandora-sample-objects/master/COMPOUND_OBJECT/Compound_01/Child_02.tiff,"Jimmy Ley to Mr. and Mrs. W. E. Ley - August 7, 1942",,"Ley, Jimmy",,,"After completing his first two weeks at Sheppard Field, Jimmy writes about the heat and his postal correspondence with family and friends.",,1942,1942-08-07~Date Created,,,Grinnell College,,,,,"United States. Army Air Forces|World War, 1939-1945|Sheppard Field (Tex.)",,,,,text,letter,1 page,,image/tiff,digitized other analog,English~eng,,,,MS 01.162 Box 1 Folder 3 Letter 7 Page 2,Digital Grinnell|GrinnellCollege. Special Collections and Archives,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
,This is the Compound_01 Child_03 example from grinnell:11568,4,2,islandora:sp_large_image_cmodel,3,https://raw.githubusercontent.com/Islandora-Collaboration-Group/islandora-sample-objects/master/COMPOUND_OBJECT/Compound_01/Child_03.tiff,"Jimmy Ley to Mr. and Mrs. W. E. Ley - August 7, 1942",,"Ley, Jimmy",,,"After completing his first two weeks at Sheppard Field, Jimmy writes about the heat and his postal correspondence with family and friends.",,1942,1942-08-07~Date Created,,,Grinnell College,,,,,"United States. Army Air Forces|World War, 1939-1945|Sheppard Field (Tex.)",,,,,text,letter,1 page,,image/tiff,digitized other analog,English~eng,,,,MS 01.162 Box 1 Folder 3 Letter 7 Page 3,Digital Grinnell|GrinnellCollege. Special Collections and Archives,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
#,This is the Compound_02 parent from grinnell:3246,5,islandora:compound_collection,islandora:compoundCModel,1,,A Data Set of Annotated Historical Maps,,"Chande, Ravi '11 | Gumm, Dylan | Weinman, J. J. ",,,"This data set is designed for testing the performance of optical character recognition algorithms on text in scanned historical map images. Thirty maps from the nineteenth and early twentieth centuries were chosen from the David Rumsey Map Collection (http://davidrumsey.com). Most maps are of individual states, though some are regional and one is of the entire U.S.; most feature little handwritten text. The original MrSid files are converted into uncompressed TIFF images for a manual annotation, stored in XML format.",,2013,,July 2013,,Grinnell College,,,,,Maps | Optical character recognition,,,,,cartographic,database,2 pages,,,born digital,English~eng,,,,,Faculty Scholarship,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
#,This is the Compound_02 Child_01 example from grinnell:10469,6,6,islandora:sp_pdf,1,https://raw.githubusercontent.com/Islandora-Collaboration-Group/islandora-sample-objects/master/COMPOUND_OBJECT/Compound_02/Child_01.pdf,A Data Set of Annotated Historical Maps,,"Chande, Ravi '11 | Gumm, Dylan | Weinman, J. J. ","Grinnell College.  Computer Science. ~ supporting host
",,"The authors gratefully acknowledge the David Rumsey Map Collection as the source of the map images, which come with the following notice:  Images copyright © 2000 by Cartography Associates. Images may be reproduced or transmitted, but not for commercial use.  This work is licensed under a Creative Commons [Attribution-NonCommercial-ShareAlike 3.0 Unported] license (http://creativecommons.org/licenses/by-nc-sa/3.0).  By downloading any images from this site, you agree to the terms of that license.
",,2013,,July 2013,,Grinnell College,,,,,,,,,,,,2 pages,,application/pdf,born digital,English~eng,,,,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
#,This is the Compound_02 Child_02 EXAMPLE,7,6,islandora:binaryObjectCModel,2,https://raw.githubusercontent.com/Islandora-Collaboration-Group/islandora-sample-objects/master/COMPOUND_OBJECT/Compound_02/Child_02.tar,A Data Set of Annotated Historical Maps - Maps.tar,,"Chande, Ravi '11 | Gumm, Dylan | Weinman, J. J. ","Grinnell College.  Computer Science. ~ supporting host
",,"The authors gratefully acknowledge the David Rumsey Map Collection as the source of the map images, which come with the following notice:  Images copyright © 2000 by Cartography Associates. Images may be reproduced or transmitted, but not for commercial use.  This work is licensed under a Creative Commons [Attribution-NonCommercial-ShareAlike 3.0 Unported] license (http://creativecommons.org/licenses/by-nc-sa/3.0).  By downloading any images from this site, you agree to the terms of that license.
",,2013,,July 2013,,Grinnell College,,,,,,,,,,,,,,application/rdf+xml,born digital,English~eng,,,,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
,This is the Compound_03 parent from grinnell:20575,8,islandora:compound_collection,islandora:compoundCModel,1,,Iowa Peace Institute,,,"Imagine Grinnell (Grinnell, Iowa)~Supporting host","Two images of 917 10th Avenue, in Grinnell, Iowa, which, from 1986 until 2003 housed the Iowa Peace Institute. ",,,,,Poweshiek History Preservation Project,,,"Drake Community Library (Grinnell, Iowa) Archives~provenance history| 290 of 592 slides from the Imagine Grinnell 2000 collection have been added to the Poweshiek History Preservation Project. A physical copy and TIFF images of all the slides can be found at Drake Community Library Archives in Grinnell, Iowa.","Dwellings| Architecture, Domestic| Iowa Peace Institute (Grinnell, Iowa)",Grinnell (Iowa),,Grinnell| 1980s| 2000s| Organizations,,,,,,,2 files,,image/jpeg,digitized other analog,,,,,,"Poweshiek History Preservation Project | Drake Community Library (Grinnell, Iowa) Archives","Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
,This is the Compound_03 Child_01 example from grinnell:20578,9,9,islandora:sp_basic_image,1,https://raw.githubusercontent.com/Islandora-Collaboration-Group/islandora-sample-objects/master/COMPOUND_OBJECT/Compound_03/Child_01.jpg,917 10th Avenue in 1988,,,,"Imagine Grinnell (Grinnell, Iowa)~Supporting host","Drake Community Library (Grinnell, Iowa) Archives. Imagine Grinnell Slides, p.32, slide 2.",1988,,,,,,,"Drake Community Library (Grinnell, Iowa) Archives~provenance history| 290 of 592 slides from the Imagine Grinnell 2000 collection have been added to the Poweshiek History Preservation Project. A physical copy and TIFF images of all the slides can be found at Drake Community Library Archives in Grinnell, Iowa.",,,,,,,,still image,slide,"1 slide, colored",,image/jpeg,digitized other analog,,,,,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
,This is the Compound_03 Child_02 example from grinnell:20579,10,9,islandora:sp_basic_image,2,https://raw.githubusercontent.com/Islandora-Collaboration-Group/islandora-sample-objects/master/COMPOUND_OBJECT/Compound_03/Child_02.jpg,917 10th Avenue in 2004,,,,"Imagine Grinnell (Grinnell, Iowa)~Supporting host",,2003,,,,,,,"Drake Community Library (Grinnell, Iowa) Archives~provenance history| 290 of 592 slides from the Imagine Grinnell 2000 collection have been added to the Poweshiek History Preservation Project. A physical copy and TIFF images of all the slides can be found at Drake Community Library Archives in Grinnell, Iowa.",,,,,,,,still image,photogrpah,1 file,,image/jpeg,digitized other analog,,,,,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
